data_date,individuals,Daily
"February 24, 2022",79982,79982
"February 25, 2022",180950,100968
"February 26, 2022",324059,143109
"February 27, 2022",491603,167544
"February 28, 2022",653356,161753
"March 1, 2022",819228,165872
"March 2, 2022",989500,170272
"March 3, 2022",1173321,183821
"March 4, 2022",1343402,170081
"March 5, 2022",1540168,196766
"March 6, 2022",1742688,202520
"March 7, 2022",1948181,205493
"March 8, 2022",2130351,182170
"March 9, 2022",2298833,168482
"March 10, 2022",2431450,132617
"March 11, 2022",2550041,118591
"March 12, 2022",2664171,114130
"March 13, 2022",2788814,124643
"March 14, 2022",2899770,110956
"March 15, 2022",3007348,107578
"March 16, 2022",3108615,101267
"March 17, 2022",3192641,84026
"March 18, 2022",3271682,79041
"March 19, 2022",3344825,73143
"March 20, 2022",3404588,59763
"March 21, 2022",3463658,59070
"March 22, 2022",3528369,64711
"March 23, 2022",3590977,62608
"March 24, 2022",3658174,67197
"March 25, 2022",3720662,62488
"March 26, 2022",3781632,60970
"March 27, 2022",3838235,56603
"March 28, 2022",3886797,48562
"March 29, 2022",3929722,42925
"March 30, 2022",3981663,51941
"March 31, 2022",4035282,53619
"April 1, 2022",4083925,48643
"April 2, 2022",4134916,50991
"April 3, 2022",4184780,49864
"April 4, 2022",4230021,45241
"April 5, 2022",4279746,49725
"April 6, 2022",4335449,55703
"April 7, 2022",4391445,55996
"April 8, 2022",4450977,59532
"April 9, 2022",4513650,62673
"April 10, 2022",4570674,57024
"April 11, 2022",4624959,54285
"April 12, 2022",4680685,55726
"April 13, 2022",4737175,56490
"April 14, 2022",4796374,59199
"April 15, 2022",4851114,54740
"April 16, 2022",4896791,45677
"April 17, 2022",4935864,39073
"April 18, 2022",4980982,45118
"April 19, 2022",5035164,54182
"April 20, 2022",5085876,50712
"April 21, 2022",5134786,48910
"April 22, 2022",5177540,42754
"April 23, 2022",5213706,36166
"April 24, 2022",5236557,22851
"April 25, 2022",5268980,32423
"April 26, 2022",5318064,49084
"April 27, 2022",5373259,55195
"April 28, 2022",5430258,56999
"April 29, 2022",5483324,53066
"April 30, 2022",5536936,53612
"May 1, 2022",5577657,40721
"May 2, 2022",5615109,37452
"May 3, 2022",5657585,42476
"May 4, 2022",5708255,50670
"May 5, 2022",5757397,49142
"May 6, 2022",5809350,51953
"May 7, 2022",5852526,43176
"May 8, 2022",5890875,38349
